,Seq,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RV,e_RV,Memb,GaiaDR2,SimbadName,_RA_icrs,_DE_icrs,Gmag,BPmag,RPmag,distance_modulus,distance_parsec,absolute_magnitude,color
22,23,185.62624,25.846123000000002,11.83,0.24,-10.85,0.4,-9.55,0.35,0.0,3.86,b,GaiaDR2,Gaia DR2 4008342726516877312,185.6263,25.846165,4.6245330000000004,4.9221260000000004,4.183922,84.53085376162299,4.635076276860348,-0.010543276860347284,0.7382040000000005
142,143,192.9246,27.540678000000003,11.49,0.18,-10.99,0.26,-8.31,0.21,0.0,0.0,t,GaiaDR2,Gaia DR2 3961912034103154944,192.92467,27.540714,4.736375,5.09422,4.231449,87.03220191470844,4.6983998565585745,0.037975143441425274,0.8627710000000004
